IPFROM,IPTO,REGI,ASSIGX,CTRY,CNTRY,PAIS
3277504512,3277512703,RIPE,861667200,DE,DEU,GERMANY
3277512704,3277520895,RIPE,880502400,DE,DEU,GERMANY
3277520896,3277553663,RIPE,856915200,SK,SVK,SLOVAKIA
3277553664,3277586431,RIPE,870393600,RU,RUS,RUSSIAN
3277586432,3277651967,RIPE,834537600,EU,EU,EUROPEAN
3277651968,3277684735,RIPE,857001600,GB,GBR,UNITED
3277684736,3277685247,RIPE,1196380800,UA,UKR,UKRAINE
3277685248,3277685759,RIPE,1196640000,DE,DEU,GERMANY
3277685760,3277686271,RIPE,1196640000,IE,IRL,IRELAND
3277686272,3277686783,RIPE,1196726400,PL,POL,POLAND
3277686784,3277687295,RIPE,1196726400,RO,ROM,ROMANIA
3277687296,3277687807,RIPE,1196726400,UA,UKR,UKRAINE
3277687808,3277688319,RIPE,1196726400,RO,ROM,ROMANIA
3277688320,3277688831,RIPE,1196812800,PL,POL,POLAND
3277688832,3277689343,RIPE,1196899200,RU,RUS,RUSSIAN
3277689344,3277689855,RIPE,1196899200,AT,AUT,AUSTRIA
3277689856,3277690367,RIPE,1196985600,RU,RUS,RUSSIAN
3277690368,3277690879,RIPE,1197244800,RU,RUS,RUSSIAN
3277690880,3277691391,RIPE,1197331200,RU,RUS,RUSSIAN
3277691392,3277691903,RIPE,1197331200,UA,UKR,UKRAINE
3277691904,3277692415,RIPE,1197417600,GB,GBR,UNITED
3277692416,3277692927,RIPE,1197417600,DE,DEU,GERMANY
3277692928,3277693439,RIPE,1197504000,UA,UKR,UKRAINE
3277693440,3277693951,RIPE,1197590400,PL,POL,POLAND
3277693952,3277694463,RIPE,1197590400,RU,RUS,RUSSIAN
3277694464,3277694975,RIPE,1197849600,DE,DEU,GERMANY
3277694976,3277695487,RIPE,1197849600,IT,ITA,ITALY
3277695488,3277695999,RIPE,1197849600,ES,ESP,SPAIN
3277696000,3277696511,RIPE,1197936000,UA,UKR,UKRAINE
3277696512,3277697023,RIPE,1197936000,AT,AUT,AUSTRIA
3277697024,3277697535,RIPE,1197936000,RO,ROM,ROMANIA
3277697536,3277698047,RIPE,1198022400,PL,POL,POLAND
3277698048,3277698559,RIPE,1198108800,RU,RUS,RUSSIAN
3277698560,3277699071,RIPE,1198108800,DE,DEU,GERMANY
3277699072,3277699583,RIPE,1198195200,UA,UKR,UKRAINE
3277699584,3277700095,RIPE,1198195200,RU,RUS,RUSSIAN
3277700096,3277700607,RIPE,1198195200,UA,UKR,UKRAINE
3277700608,3277701119,RIPE,1198195200,UA,UKR,UKRAINE
3277701120,3277701631,RIPE,1198454400,DK,DNK,DENMARK
3277701632,3277702143,RIPE,1198454400,AT,AUT,AUSTRIA
3277702144,3277702655,RIPE,1198454400,GB,GBR,UNITED
3277702656,3277703167,RIPE,1198454400,RO,ROM,ROMANIA
3277703168,3277703679,RIPE,1198713600,DE,DEU,GERMANY
3277703680,3277704191,RIPE,1198713600,PL,POL,POLAND
3277704192,3277704703,RIPE,1198713600,UA,UKR,UKRAINE
3277704704,3277705215,RIPE,1198800000,RU,RUS,RUSSIAN
3277705216,3277705727,RIPE,1198800000,UA,UKR,UKRAINE
3277705728,3277706239,RIPE,1199232000,ES,ESP,SPAIN
3277706240,3277706751,RIPE,1199318400,UA,UKR,UKRAINE
3277706752,3277707263,RIPE,1199404800,UA,UKR,UKRAINE
3277707264,3277707775,RIPE,1199664000,CZ,CZE,CZECH
3277708288,3277708799,RIPE,1200268800,AT,AUT,AUSTRIA
3277708800,3277709311,RIPE,1200268800,PL,POL,POLAND
3277709312,3277709823,RIPE,1200268800,NL,NLD,NETHERLANDS
3277709824,3277710335,RIPE,1200355200,GB,GBR,UNITED
3277710336,3277710847,RIPE,1200441600,RU,RUS,RUSSIAN
3277710848,3277711359,RIPE,1200441600,PL,POL,POLAND
3277711360,3277711871,RIPE,1200873600,NO,NOR,NORWAY
3277711872,3277712383,RIPE,1200873600,IL,ISR,ISRAEL
3277712384,3277712895,RIPE,1200873600,DE,DEU,GERMANY
